X,Y,Z,Collision_state
141.98814129093,503.84998933865,-804.37994197381,0
405.33709259318,264.26014359802,-329.48876542555,0
628.51703956503,904.08559659886,-276.55805352016,0
-859.78801014556,-24.296161257049,300.25652407215,1
253.23357885638,-48.090022896153,-326.38155836662,0
-388.86560682247,-160.15006654413,1402.4682822199,0
-223.35951831254,35.209010285021,106.36565845487,0
45.129683981207,657.72062365557,-763.18458488195,0
-313.61698230473,-672.87898153153,533.46685633044,1
-472.23901068387,-1036.6049499868,988.79588251209,1
696.60892945179,626.40104842649,1141.9622181662,0
645.69290875537,-597.56885235104,-638.76444737001,0
46.868454423256,-307.32462348636,1229.8009225373,1
-569.75207874441,62.032078328731,-330.09515301347,1
85.069337610092,-546.98609817458,862.07799409806,1
-143.9846806245,500.37094707289,770.62863842399,1
-288.82911119247,209.2761244555,563.43016865673,1
113.32083320453,1021.0521472791,899.9251204228,1
-443.31604869662,70.514827501594,-557.2373151163,0
-1363.7766242216,-397.03921262351,16.869661676463,0
9.6973249942641,-360.76964461021,396.57713969075,0
788.66956473523,-914.75549037043,355.58529103289,1
-139.26498089975,-115.11286494722,711.09386647649,1
-714.80033661296,-363.29272117461,-861.66316376528,0
145.36682773377,-854.9392792288,-74.414125792222,0
-706.23167203554,-359.14821259931,609.92680228707,1
795.17616495803,-747.86887468402,-155.11043488278,1
-532.79731337463,861.01547462406,-442.67950481785,1
766.04072290736,-620.62042866943,66.610978847494,1
286.64182117736,1075.0212813582,755.33218795682,0
-426.42189666849,-215.21319621713,92.955349531959,0
78.530728163254,-456.77555445345,228.24759541774,1
889.46278721401,-626.83512005965,676.18712650807,0
67.06499262162,931.07720512816,65.667252005384,0
-54.393164451942,503.4313849127,413.62959127563,1
-250.77938892308,-95.883224129965,505.89509800243,0
-76.17845188024,-346.97415211312,54.036562719382,0
-284.17407474907,-166.58354491264,396.67173305305,1
-504.39129773125,209.85540839356,1180.9160749013,1
202.6428990433,-11.796484983972,172.95962408109,1
676.69196397008,401.10712657616,818.07549995349,1
136.4037651277,-141.63653309535,-121.84947627574,0
689.16246972904,997.88904529631,-193.35418533064,0
-1179.8200260788,-882.96774712581,416.55506695063,0
-58.73106289116,705.14250770934,706.55911078799,1
80.623946962914,96.937289409996,1047.6112439073,1
282.70887803721,-586.54084743858,-283.86709057508,0
-339.56831260539,-330.5303386227,1507.6966581446,0
-300.58127267886,292.02425211641,1291.4058934792,1
-515.66046409572,243.5482691855,-637.97119912378,0
-15.377451938691,1074.2932155976,652.14919965292,0
-461.99090032605,985.23985877075,-31.514902779892,0
-199.02572979752,771.53853576644,-573.89356007714,1
-487.97066327546,-1070.8378809031,-106.94607136816,1
-233.96693577175,47.766627092404,894.79119391612,1
-209.72504349702,147.47236177431,-221.62793853519,0
-167.53819087995,608.5552424553,923.13556410741,1
276.63418864415,-494.62910103641,-196.57387856944,0
27.597296968311,328.0103925789,796.5611760904,1
735.29105321419,-1036.4777175511,581.13797450699,1
643.16648196135,752.02098300134,332.94204966569,0
131.41065609275,79.38880427383,-632.71892653947,0
349.49734992184,-673.86557923093,-613.60309014148,0
456.05379982196,-814.7197769096,-632.36472330471,0
351.94831622612,379.00577198527,-845.42826483718,1
412.63363607668,798.34876523183,189.13031761543,0
-1201.8640866015,203.43854733388,651.68279354123,0
-209.45139424885,-142.84367814547,-261.55403133503,0
627.28897707977,622.60489631136,-279.65864023658,0
-731.32666374198,1321.0923328063,358.95820643294,1
88.169696014471,252.09590932869,-196.12948062338,0
520.25034184835,-610.5131137192,326.87805450099,1
184.54467832633,63.623728176573,962.99491669766,1
-62.274106839483,-105.783953304,1080.6794372262,1
311.63363955919,-115.566434012,563.53227700241,1
642.62410219329,-194.68699557026,983.68867594635,1
190.56430195661,-32.017033377977,911.34801445392,1
-884.56700355315,650.4300108402,635.10760304404,1
-134.05976670445,-419.44671267507,-549.104015598,0
191.81365893619,134.70978298255,-794.42975357065,0
812.17737430656,-43.113025088155,491.57941250976,1
-481.57715631247,-374.48500222218,-192.53051929452,0
-805.59286226531,-365.25140867639,-292.83216754013,0
76.328577527849,1071.1574459578,138.11550897421,0
-573.90024623844,500.91083508977,1220.9628249343,0
-175.83560558885,-468.87023883574,266.89727425385,0
-608.84061242979,175.39830315226,-504.10471258583,0
694.32202073053,176.28249573759,-816.25120019223,0
-386.73927658375,837.81862205243,548.92648929398,1
307.31445628118,110.06626847946,-152.13283146589,0
300.0851854044,775.77253499937,1215.421538614,1
-234.39378541006,-106.03307635564,1635.1949119762,0
-613.27682544984,-1.9214026153281,-380.39875197708,1
433.41628273708,-437.16523309584,1188.2953114438,1
104.28476947285,-240.86311260958,-0.89754832817368,0
-337.61353801108,174.750243284,-778.109162957,1
-402.97767815573,74.269003839374,-207.2492106819,0
1131.0801821958,58.549940235573,352.14593363688,0
672.57819758167,-607.6201085444,742.13110571419,1
-241.3559453482,-265.03858050213,-278.23711552225,0
-1237.3739455509,264.6005632066,788.42912906934,0
355.89277638854,-172.25780196349,1287.7796157822,1
62.914725670404,163.02537369493,-181.93934306743,0
534.33254090506,-826.02039674041,361.53978215397,1
-86.303594031412,432.38748799156,296.68285125881,1
502.58475927307,-235.94658966518,-155.42123312422,0
255.40789668794,11.944170915666,-103.29838193275,0
-372.74069590756,192.79521415101,768.71303337344,1
83.839835497053,236.27410674709,-106.62006423178,0
-339.20348693083,-911.8358216234,-474.30771399898,0
-532.21102495912,-469.11631917467,529.35067328795,1
104.61546397201,77.189552772626,306.5440601712,1
-179.53520905881,132.28732839633,1093.3802362892,1
-180.34332012223,119.19999124048,207.80254633347,0
4.639372724489,521.34396363165,-116.49678025274,0
-1412.4866702714,-383.3116879546,78.391908158476,0
-71.192960875652,-143.25927779777,366.07942854595,0
600.44633722661,48.130477865195,255.2247157747,1
271.14932675158,463.17974062083,-451.48232374877,0
488.70875690434,-60.625938560514,1154.7150256856,1
-717.14716984078,538.18775346896,1051.116446872,1
10.203834036685,-339.13221644781,-75.681354776252,0
-218.87879680014,24.469433291635,436.68233959461,0
1051.1340372189,-334.47803452398,22.424665823616,1
-366.32439483797,-322.14337799162,-145.10870770964,0
-379.22681892473,230.07765645751,-342.74125969737,0
-526.81649971006,1.7976269761309,198.39450284776,0
-296.86511348937,-159.88350669995,222.13767535458,1
1218.5444383701,343.3673354311,-197.59215881815,0
168.02105049941,-482.27428368691,-438.43902633587,0
-135.98838806067,-91.325650231643,1251.2956835865,1
470.36753901413,-410.1858712955,260.02559730341,1
667.93104909885,100.70309027614,-138.82480981683,0
350.90380628347,-745.89455628901,-362.58934474431,0
461.8003140645,1468.8060341598,208.44501777019,0
